Spider_ID,T2_Period_hours,T2_Power,T2_FAP,T2_Status,DD_Period_hours,DD_Amplitude,DD_p_value
Lc8F,19.45363547893786,0.0022523654976380567,0.00713101802155797,significant,23.78807599,263.7056856,1.4000000000000001e-109
Lc54F,20.107774105474927,0.01182981612094522,6.367194869727849e-34,significant,25.62038938,6.98218328,1.0
Lc65F,23.140400198445512,0.018281643328898704,3.6853486489290926e-55,significant,28.74636587,1294.223757,0.0
Lc72F,16.345053147996726,0.00017195092587169,1.0,non_significant,23.78807599,89.09789484,5.52e-34
Lc75F,19.157995618838992,0.0018488047675167174,0.12585464559193157,non_significant,25.2768038,2478.674702,0.0
Lc76F,19.918861209964412,0.02519731330836378,4.1143044677768057e-78,significant,24.09213767,1577.652477,0.0
Lc78F,15.329754601226993,0.001253686650262198,0.9999368789664109,non_significant,23.8885735,295.254455,2.9500000000000003e-123
Lc79F,20.460593654042988,0.018701899186729206,1.503287888256247e-56,significant,25.73700306,134.6022929,1.17e-53
Lc80F,23.644812436634,0.0011633802520175111,0.9999999892772177,non_significant,29.65079885,64.04311369,3.5599999999999996e-23
Lc90F,22.140822784810126,0.002853158142050044,8.800467654600012e-05,significant,,,
Lc92F,21.718143721868696,0.02422189412064972,7.289720271510577e-75,significant,,,
Lc93F,21.99465576862622,0.005246411502068405,1.7837372868071525e-12,significant,,,
Lc94F,23.431011386470196,0.00467675689444701,1.232353386333579e-10,significant,,,
Lc95F,20.75189084977013,0.028372106787038553,1.0389947117611264e-88,significant,,,
Lc96F,30.176838473150745,0.0017291618178461462,0.2735273499145957,non_significant,,,
Lc100F,20.76112759643917,0.022455659244768254,5.4395768996523e-69,significant,24.09213767,319.6905287,7.479999999999999e-134
Lc102F,22.525756600128783,0.02957800998060833,9.580223947926073e-93,significant,,,
Lc13M,20.326844857640907,0.02437273342438564,2.294085747066327e-75,significant,,,
Lc14M,21.973932160804022,0.006824212830972706,1.3772903859704114e-17,significant,,,
Lc15M,20.65997342388897,0.011236673615113246,5.58364984463278e-32,significant,,,
hours,31.33228840125392,0.009532765101467743,2.081200488940309e-26,significant,,,
