test,comparison,statistic,p_value,n,mean,std,sem
Wilcoxon signed-rank,Light vs Dark,7.0,3.62396240234375e-05,20,,,
One-sample t-test,Masking Index vs 0,4.925263914696463,9.39607670300713e-05,20,0.394171210212228,0.3488447525911141,0.0780040580387827
