id,case,k1,k2,k3,phase_offset_h,csv_tau_true_DD,my_tau_true_DD,csv_A_DD,my_A_DD,csv_tau_LS_DD,my_tau_LS_DD,csv_tau_LS_LD,my_tau_LS_LD,my_tau_LS_LD_fullgrid,csv_A_LD,my_A_LD,csv_tau_true_LD,my_tau_true_LD,csv_entrained_LS,my_entrained_LS,match
0,entrained_LS True,0.1267662400747883,0.3166377222615299,0.1314351493515826,12.038714373652692,21.7,21.698571428571427,0.48229724,0.4824094644957717,21.718143721868696,21.718143721868696,23.936024632227166,23.936024632227166,23.936024632227166,0.865561,0.8658232265886742,24.00000000000001,24.0,True,True,True
2,"False, tau_DD<22",0.2112337837550026,0.2504575671276645,0.2113720919906991,21.099102072552885,18.475,18.4675,0.7271077,0.7271761404230741,18.497025776602776,18.497025776602776,16.708059701492534,16.708059701492534,16.708059701492534,0.6807576,0.6811753254500764,17.025,17.027500000000003,False,False,True
113,"False, tau_DD>30",0.1640460677083444,0.0927312087047834,0.1391616775091225,9.2155034501362,31.875000000000004,31.882499999999997,0.5587578,0.5589416310446019,32.04259216853675,32.04259216853675,15.077039112164638,15.077039112164638,15.077039112164638,0.79207385,0.7920741673907815,30.05,30.057500000000005,False,False,True
201,"bonus: False, tau_DD>30, tau_LS_LD~31",0.1332882310560002,0.1442798420886238,0.0945468397650528,4.684858649605243,34.125,34.1475,0.55714464,0.5572428068460585,34.2043510144219,34.2043510144219,30.896445131375582,30.896445131375582,30.896445131375582,0.7737911,0.7736320897216467,30.700000000000006,30.700000000000006,False,False,True
