track,variant,species,rhythmic_DD,ent_LS,ent_true,ent_LS_beta0,ent_true_beta0,ent_LS_beta2,tauLD_sd_ent,phase,vec,ld_ratio,fwhm_DD,fwhm_LD,damped_DD,sharp,nonosc
track1_main,fitted,L. cornutus,88.2,64.0,34.2,54.400000000000006,1.0,97.6,0.30104081632164753,19.67579876946844,0.5467216233667394,0.34142086507799996,5.442,8.442,2.4,0.0,0.0
track1_main,fitted,A. pennsylvanica,95.8,21.4,5.2,19.400000000000002,0.4,62.8,0.47962653688592694,12.845112921198746,0.10054704571593627,0.9546578188400001,5.094,9.86,1.0,6.4,0.0
track1_main,fitted,S. grossa,69.19999999999999,60.4,55.2,16.2,0.6,71.8,0.07636774520246624,16.774847751947707,0.22730751506409594,0.68024027578,6.698,7.64,5.4,0.0,0.0
track1_main,half_sigma_scale,L. cornutus,83.8,59.199999999999996,33.0,54.6,0.6,98.8,0.318267387602049,19.259498474216226,0.5502068091605311,0.40062649732,5.592,8.184,1.6,0.0,0.0
track1_main,half_sigma_scale,A. pennsylvanica,96.2,33.0,8.4,30.599999999999998,1.0,77.60000000000001,0.49855467095728634,12.981067226609596,0.13817070633744105,0.97866528662,5.132,9.698,0.2,4.2,0.0
track1_main,half_sigma_scale,S. grossa,68.2,76.8,74.2,29.799999999999997,0.8,83.39999999999999,0.0716951478880556,16.298081558675804,0.27123475502887334,0.57059829342,6.794,6.438,7.199999999999999,0.0,0.0
track2_outputvar,output_var,L. cornutus,88.2,57.599999999999994,33.4,60.199999999999996,0.6,91.0,0.3022132624835486,18.710852703221203,0.5209580726482407,0.37157171920000004,4.222,8.36,1.4000000000000001,0.0,0.0
track2_outputvar,output_var,A. pennsylvanica,95.8,20.200000000000003,5.2,19.0,1.4000000000000001,62.6,0.4659417716548821,13.557390336544124,0.11884053057642972,0.96265709684,4.562,10.01,2.8000000000000003,6.6000000000000005,0.0
track2_outputvar,output_var,S. grossa,68.60000000000001,52.400000000000006,45.6,17.4,0.4,58.599999999999994,0.12971962558329866,16.824229779823426,0.21834857098086305,0.6745855801,4.44,6.456,1.6,0.0,0.0
