k1,k2,k3,k_geo,asym,a1,a2,a3,sigma_proposal,amp_prot_LC,amp_act_LC,tau_LC,npeaks_LC,rhythmic_LC,amp_prot_AP,amp_act_AP,tau_AP,npeaks_AP,rhythmic_AP,amp_prot_SG,amp_act_SG,tau_SG,npeaks_SG,rhythmic_SG
0.2602377531696669,0.49710072674897143,0.20803946768846807,0.2996770449335706,0.6397225437899705,-0.14110972946535327,0.5060872971693626,-0.36497756770400935,0.7,0.18012317346331508,0.7156868763015884,12.458,16,True,0.17958186595710746,0.5511546306099546,12.4575,9,True,0.1812843140595904,0.5539173630323253,12.457692307692307,14,True
0.15059127692229765,0.2661182773942768,0.11551598679203617,0.16666287550102185,0.6030305347657079,-0.1014036709759546,0.4679677993100438,-0.3665641283340892,0.7,0.14897305725010354,0.3187914700849117,23.465,9,False,0.15194910683774634,0.5664508482274769,23.4725,5,True,0.14835444451591595,0.5564026984461707,23.465714285714288,8,True
0.06041316242393152,0.29854862721532505,0.07796145591998054,0.11203202772047352,1.2138985432809593,-0.6175777900802852,0.9801480326032511,-0.362570242522966,0.7,0.031443787882606544,0.01558587881121034,31.016,6,False,0.03154325438219316,0.08750911555916796,31.24,3,False,0.03104266208875392,0.08678033922091666,31.016,6,False
0.4459235638243032,0.1171297762942435,0.0460447085636447,0.13397871913461473,1.613926374692433,1.202466580862074,-0.1343984557235843,-1.0680681251384898,0.7,0.0019259861754369612,0.0003900499293486258,26.967142857142857,8,False,0.0018912372795782811,0.00311980724030661,26.973333333333333,4,False,0.0019189031402659096,0.003168326584572778,26.968333333333334,7,False
0.20223090972210442,0.14702479375351188,0.4134053506750407,0.2307834896108134,0.7487076595247893,-0.1320698346173027,-0.4508787590471427,0.5829485936644455,0.7,0.16993379849141987,0.20453285863638276,16.045833333333334,13,False,0.17345195376942313,0.07724790844042352,16.048333333333336,7,False,0.17303540362151892,0.07722333369139966,16.046,11,False
0.19284509644572476,0.07772041812848515,0.10476325531661095,0.11622982159533184,0.655067254838748,0.5063178058257027,-0.4024514472975964,-0.10386635852810622,0.7,0.1175885920459899,0.20192358347347125,33.524,6,False,0.1239409276921851,0.40689039179892345,33.62,3,True,0.12197885695365579,0.40471084691724435,33.5475,5,True
0.12470411344367041,0.08285906640254018,0.2190637676569795,0.13129971675559787,0.6903563436586336,-0.051538785216212024,-0.46034145465688414,0.5118802398730962,0.7,0.1358827911638033,0.5949074483002061,29.228333333333335,7,True,0.13421969122910077,0.3537249020498791,29.266666666666666,4,False,0.13932785259675523,0.35145386556444047,29.238,6,False
0.10901850936600192,0.11224841365274393,0.09665248731937473,0.10575424981250481,0.11213902692610903,0.030399674039015917,0.05959638978177184,-0.08999606382078779,0.7,0.17214218573194848,0.42685210011286234,40.36000000000001,5,True,0.1635197174937683,0.5348274592648838,40.434999999999995,3,True,0.16880061045598516,0.5388433561190753,40.36000000000001,5,True
0.14996605255695797,0.33449848663099857,0.12940340446219184,0.18654241999327814,0.7227809024935249,-0.218249714071502,0.583973689018581,-0.365723974947079,0.7,0.13493096835904764,0.2911051331839518,20.244444444444447,10,False,0.13688473108769306,0.5091724040937394,20.25,6,True,0.13443199588306912,0.5074151971969759,20.24625,9,True
0.05054906040905972,0.07603655434562731,0.3064065711135506,0.10560339089980553,1.3361849732069309,-0.7367461236143692,-0.32847627866491746,1.0652224022792867,0.7,0.0387588196406119,0.1434143282261155,33.209999999999994,6,False,0.03688630913405566,0.04329158578703554,33.32,4,False,0.03825509218895773,0.042945349135711214,33.209999999999994,6,False
0.08242856707156383,0.252384697649845,0.18791359643162797,0.15753110695818054,0.8202191914188762,-0.6476908786658196,0.47133155819072436,0.17635932047509542,0.7,0.10440826578372858,0.412632553487021,23.06875,9,True,0.10536059179865986,0.3113123007260379,23.095000000000002,5,False,0.10380832154462055,0.30888518707806634,23.074285714285715,8,False
