species,tau_h,kappa,y_th,fwhm,peak6,p2m,A_L,published
S. grossa,0.5,10,0.5,11,0.38370565336571794,1.8977543866467608,0.44438183241611623,False
S. grossa,0.5,10,0.6,8,0.4742463432718025,2.0459909716945806,0.43194447338152575,False
S. grossa,0.5,30,0.25,9,0.48866903621439967,2.3770173760033484,0.6233481471787393,False
S. grossa,0.5,30,0.3,8,0.4007306973968236,2.3214241856240174,0.6546389493411474,False
S. grossa,0.5,30,0.4,6,0.37927705343424,2.3562738050969956,0.6930794102254252,False
S. grossa,0.5,30,0.5,6,0.36744354426072107,2.3093333238707707,0.6671019534658158,False
S. grossa,0.5,30,0.6,8,0.4636950709823873,2.263482087373108,0.5697243171824289,False
S. grossa,0.5,60,0.25,8,0.5410240062577211,2.680661707423329,0.7672874831438967,False
S. grossa,0.5,60,0.3,8,0.435009005993631,2.447906581582968,0.7859226786025661,False
S. grossa,0.5,60,0.4,6,0.4055519130966468,2.4290260472280294,0.818009276335171,False
S. grossa,0.5,60,0.5,5,0.39628003046133947,2.4391254728484784,0.8080474909664652,False
S. grossa,0.5,60,0.6,7,0.4592676551004578,2.4846785876954613,0.6921547020183259,False
S. grossa,1.0,10,0.25,8,0.36129209802711104,1.9545206648613536,0.5262162181376301,False
S. grossa,1.0,10,0.3,6,0.3429666003149831,1.8937162223135195,0.5631100479360732,False
S. grossa,1.0,10,0.4,4,0.35676864868202374,2.042295319391741,0.5936695659714355,False
S. grossa,1.0,10,0.5,10,0.4173231378889552,2.106734379131479,0.5657156512471013,False
S. grossa,1.0,10,0.6,8,0.48917556138027807,2.193745665050105,0.5044742494592872,False
S. grossa,1.0,30,0.25,9,0.48668464128988614,2.404059768371609,0.7190443913333202,False
S. grossa,1.0,30,0.3,6,0.4210260449610545,2.5979756964576137,0.7684133316794817,False
S. grossa,1.0,30,0.4,3,0.3833038773621141,2.7331368674345855,0.8075486596616487,False
S. grossa,1.0,30,0.5,4,0.39305588810298886,2.6741611174942705,0.7658874275320351,False
S. grossa,1.0,30,0.6,8,0.48367183059494623,2.4202499940248794,0.6402692557507339,False
S. grossa,1.0,60,0.25,8,0.5218952765450008,2.65722144330894,0.829485522330027,False
S. grossa,1.0,60,0.3,6,0.4337685407526989,2.7577288949048926,0.8543591709461886,False
S. grossa,1.0,60,0.4,5,0.38864166361540314,2.8674770620080725,0.8850747993482426,False
S. grossa,1.0,60,0.5,4,0.3936590675579468,2.882050536942004,0.8670292490739959,False
S. grossa,1.0,60,0.6,7,0.47805072584408015,2.5857828941391876,0.738768157734887,False
S. grossa,1.5,10,0.25,4,0.3790385545578462,2.033834919264482,0.5956209614398481,False
S. grossa,1.5,10,0.3,3,0.3725587539901847,2.080530538298267,0.6481751188455982,False
S. grossa,1.5,10,0.4,4,0.3953715154071151,2.1242473620454585,0.6910311715006159,False
