species,key,variant,k_bar,sigma_scale,sigma_asym,loss,ess,f_sim,tau_sim,sd_sim,f_obs,tau_obs,sd_obs,n_obs,n_excluded_zero_activity
L. cornutus,LC,fitted,0.15962612377057783,0.06158226971162748,0.3055249108598246,5.003556859392498e-07,1396.2260343155947,0.8823811181967203,25.645666863336274,1.7858814624226473,0.8823529411764706,25.645644180666668,1.785995261124403,34,11
A. pennsylvanica,AP,fitted,0.18644356439213988,0.1801929513142672,0.21843040828012872,8.410991525589654e-07,2135.41995719529,0.9565424007971108,22.58297370544671,4.2321583798178,0.9565217391304348,22.58311702453674,4.231661200896263,23,0
S. grossa,SG,fitted,0.17314971013864403,0.14428023373417642,0.44502115650169727,9.723265404174942e-06,6023.158230086681,0.6856236174315603,23.652047737187374,3.6075042948856715,0.6857142857142857,23.652115884166665,3.6090446662186384,35,0
