spider_id,mean_light,mean_dark,masking_index
Lc8F,0.07356412273800157,0.096,0.1323150021344123
Lc54F,0.04143718856543404,0.13545762711864406,0.5315047712937162
Lc65F,0.12811434565958563,0.40867796610169493,0.5226669873894917
Lc72F,0.004589562024652505,0.019525423728813558,0.6193601711754821
Lc75F,0.0036716496197220037,0.016542372881355932,0.6367225158153249
Lc76F,0.11369000786782062,0.3642033898305085,0.5242034796237649
Lc78F,0.0006556517178075007,0.013423728813559322,0.9068635560567734
Lc79F,0.07802255441909257,0.4576271186440678,0.7086806607276968
Lc80F,0.012457382638342512,0.015457627118644068,0.10747782309302807
Lc90F,0.031864673485444535,0.031864406779661014,-4.184993450575562e-06
Lc92F,0.04432205612378704,0.3354576271186441,0.7665906941341346
Lc93F,0.07579333857854707,0.07322033898305084,-0.017266868636488922
Lc94F,0.023865722528193023,0.07538983050847457,0.5191055452710761
Lc95F,0.042355100970364545,0.6096271186440678,0.8700728342088457
Lc96F,0.016391292945187517,0.00623728813559322,-0.4487247686165552
Lc100F,0.03763440860215054,0.23389830508474577,0.722800187932076
Lc102F,0.23931287699973774,0.33315254237288133,0.16392198060799046
Lc13M,0.22462627852084974,0.25152542372881354,0.05649280487893671
Lc14M,0.03632310516653554,0.09030508474576271,0.4263030184401648
Lc15M,0.13690007867820614,0.17938983050847457,0.1343379937081398
