Spider_ID,T2_Period_hours,T2_Power,T2_FAP,T2_Status,DD_Period_hours,DD_Amplitude,DD_p_value
Lc8F,19.45363547893786,0.0022523654976380563,0.00713101802155797,significant,23.78807599,263.70568560000004,1.4e-109
Lc54F,20.107774105474927,0.011829816120945223,6.36719486972785e-34,significant,25.62038938,6.98218328,1.0
Lc65F,23.140400198445512,0.018281643328898697,3.685348648929092e-55,significant,28.74636587,1294.223757,0.0
Lc72F,16.345053147996726,0.00017195092587169022,1.0,non_significant,23.78807599,89.09789484,5.52e-34
Lc75F,19.157995618838992,0.0018488047675167183,0.1258546455919316,non_significant,25.2768038,2478.674702,0.0
Lc76F,19.918861209964412,0.025197313308363802,4.114304467776807e-78,significant,24.09213767,1577.6524769999999,0.0
Lc78F,15.329754601226993,0.001253686650262197,0.9999368789664109,non_significant,23.8885735,295.254455,2.9499999999999993e-123
Lc79F,20.460593654042988,0.018701899186729203,1.503287888256247e-56,significant,25.73700306,134.6022929,1.1699999999999998e-53
Lc80F,23.644812436634,0.0011633802520175096,0.9999999892772177,non_significant,29.65079885,64.04311369,3.56e-23
Lc90F,22.140822784810126,0.002853158142050045,8.800467654600012e-05,significant,,,
Lc92F,21.718143721868696,0.024221894120649706,7.289720271510575e-75,significant,,,
Lc93F,21.99465576862622,0.005246411502068404,1.7837372868071523e-12,significant,,,
Lc94F,23.431011386470196,0.004676756894447007,1.2323533863335786e-10,significant,,,
Lc95F,20.75189084977013,0.028372106787038602,1.0389947117611273e-88,significant,,,
Lc96F,30.176838473150745,0.001729161817846145,0.27352734991459565,non_significant,,,
Lc100F,20.76112759643917,0.022455659244768257,5.439576899652301e-69,significant,24.09213767,319.6905287,7.479999999999998e-134
Lc102F,22.525756600128783,0.029578009980608354,9.580223947926076e-93,significant,,,
Lc13M,20.326844857640907,0.02437273342438563,2.294085747066326e-75,significant,,,
Lc14M,21.973932160804022,0.006824212830972707,1.3772903859704115e-17,significant,,,
Lc15M,20.65997342388897,0.011236673615113248,5.583649844632781e-32,significant,,,
hours,31.33228840125392,0.009532765101467769,2.081200488940312e-26,significant,,,
