species,n,significant,in_window_given_sig,entrained
L. cornutus,32,90.625,100.0,90.625
A. pennsylvanica,41,87.8048780487805,72.22222222222221,63.41463414634146
S. grossa,31,70.96774193548387,68.18181818181817,48.38709677419355
