subjective_hour,Ag58M,Ag61M,Ag63M,Ag68M,Ag79M,Ag87M,Ag45F,Ag59F,Ag90F
0,0.28524945770065074,0.0517051705170517,0.2225950782997763,0.08484162895927602,0.4650655021834061,0.13211600429645542,0.2718340611353712,0.1404494382022472,0.03791982665222102
1,0.09209100758396534,0.08030803080308031,0.19686800894854586,0.31108597285067874,0.35855263157894735,0.23927038626609443,0.3456924754634678,0.0764904386951631,0.1193058568329718
2,0.2258414766558089,0.0627062706270627,0.09507829977628636,0.29898074745186864,0.8080697928026173,0.1267454350161117,0.16921397379912664,0.08426966292134831,0.014099783080260303
3,0.5950054288816504,0.0891089108910891,0.09394572025052192,0.5418552036199095,0.2850877192982456,0.42857142857142855,0.23471615720524017,0.0281214848143982,0.04333694474539545
4,0.5644637053087758,0.18041804180418042,0.07620041753653445,0.13009049773755657,0.21919302071973829,0.15830546265328874,0.22379912663755458,0.04269662921348315,0.046637744034707156
5,0.29718004338394793,0.1331133113311331,0.08237747653806048,0.17760180995475114,0.09978070175438597,0.21875,0.12910284463894967,0.18222722159730034,0.0596529284164859
6,0.8048780487804879,0.183920704845815,0.2884012539184953,0.15384615384615385,0.1875681570338059,0.5583815028901734,0.12086659064994298,0.12808988764044943,0.031453362255965296
7,0.205607476635514,0.1001100110011001,0.11991657977059438,0.14156285390713477,0.12719298245614036,0.2115606936416185,0.1761297798377752,0.1327334083239595,0.09100758396533044
8,0.34655775962660446,0.14521452145214522,0.12013348164627363,0.24660633484162897,0.11668484187568157,0.223121387283237,0.373117033603708,0.06292134831460675,0.09100758396533044
9,0.053738317757009345,0.17271727172717272,0.20022371364653244,0.03733031674208145,0.06129398410896708,0.3414351851851852,0.20069605568445475,0.08098987626546682,0.020607375271149676
10,0.19976635514018692,0.21122112211221122,0.1621923937360179,0.20588235294117646,0.23880597014925373,0.2994219653179191,0.14956331877729256,0.3146067415730337,0.04772234273318872
11,0.5210280373831776,0.10231023102310231,0.21588366890380314,0.35913978494623655,0.1354764638346728,0.130635838150289,0.7467248908296943,0.12921348314606743,0.06608884073672806
12,1.17353579175705,0.7282728272827282,0.48322147651006714,0.547798066595059,0.9861910241657077,0.8912037037037037,1.2729257641921397,0.35562632696390656,1.896
13,0.5438786565547129,0.12004405286343613,0.3143176733780761,0.07419354838709677,0.4198473282442748,0.7607296137339056,0.26965065502183405,0.24416135881104034,0.9621125143513203
14,0.6518438177874186,0.07590759075907591,0.0067039106145251395,0.0322234156820623,0.3023001095290252,0.5789473684210527,0.17286652078774617,0.05526036131774708,0.14580941446613088
15,0.3206933911159263,0.13751375137513752,0.1702127659574468,0.07849462365591398,0.49182115594329334,0.8023630504833512,0.2300981461286805,0.10498409331919406,0.4197247706422018
16,0.024918743228602384,0.16831683168316833,0.30726256983240224,0.04618689581095596,0.23464912280701755,0.4967811158798283,0.3173391494002181,0.1594048884165781,0.01264367816091954
17,0.4945770065075922,0.13091309130913092,0.4015659955257271,0.02906350914962325,0.31952017448200654,0.33297529538131043,0.15376226826608505,0.12208067940552017,0.03669724770642202
18,0.11171366594360087,0.12334801762114538,0.2026875699888018,0.04833512352309345,0.5230263157894737,0.44253490870032225,0.15502183406113537,0.18152866242038215,0.1549942594718714
19,0.23344191096634093,0.061606160616061605,0.15195530726256984,0.09032258064516129,0.2410032715376227,0.602577873254565,0.4212253829321663,0.14012738853503184,0.018418201516793065
20,1.1724511930585684,0.13091309130913092,0.06152125279642058,0.05263157894736842,0.6118421052631579,0.6566523605150214,0.16812227074235808,0.04314159292035398,0.38503253796095444
21,0.047670639219934995,0.0891089108910891,0.1331096196868009,0.11302475780409042,0.7420765027322405,0.36989247311827955,0.1091703056768559,0.07977528089887641,0.1963123644251627
22,0.10737527114967461,0.08360836083608361,0.1756152125279642,0.05477980665950591,0.2724288840262582,0.7371244635193133,0.14301310043668122,0.16647919010123735,0.0866738894907909
23,0.044420368364030335,0.08418657565415244,0.17337807606263983,0.13154960981047936,0.1303395399780942,0.3727175080558539,0.18231441048034935,0.0696629213483146,0.0911062906724512
