subjective_hour,Ag8F,Ag17F,Ag27F,Ag33F,Ag46F,Ag60F,Ag62F,Ag69F,Ag72F,Ag77F,Ag75F,Ag1M,Ag3M,Ag5M,Ag6M,Ag7M,Ag10M,Ag13M,Ag24M,Ag26M,Ag28M,Ag29M
0,0.46099290780141844,0.18076923076923077,0.3431372549019608,0.174496644295302,0.25,0.17670682730923695,0.4434250764525994,0.9801587301587301,0.3088803088803089,0.5585284280936454,0.1564625850340136,0.3797909407665505,0.22310756972111553,0.24846625766871167,0.4618055555555556,0.417910447761194,0.048507462686567165,0.4375,0.32323232323232326,0.34219269102990035,0.8745644599303136,0.06872852233676977
1,0.6298932384341637,0.2471042471042471,0.4803921568627451,0.29292929292929293,0.24535315985130113,0.14285714285714285,0.42024539877300615,0.3333333333333333,0.17692307692307693,0.14381270903010032,0.8033333333333333,0.3321678321678322,0.4246031746031746,0.3263888888888889,0.2375,0.4681647940074906,0.19029850746268656,0.4,0.3400673400673401,0.2857142857142857,0.8571428571428571,0.08727272727272728
2,0.3167259786476868,0.7015384615384616,0.19672131147540983,0.15824915824915825,0.11481481481481481,0.16033755274261605,0.5321100917431193,0.3705179282868526,0.3359073359073359,0.3712374581939799,0.29491525423728815,0.2604166666666667,0.14682539682539683,0.6057347670250897,0.4340277777777778,0.25660377358490566,0.1417910447761194,0.32916666666666666,0.3400673400673401,0.23588039867109634,1.3251748251748252,0.42142857142857143
3,0.7473309608540926,0.27469135802469136,0.3627450980392157,0.2356902356902357,0.16853932584269662,0.07531380753138076,0.3516819571865443,0.06772908366533864,0.11153846153846154,0.11333333333333333,0.21768707482993196,0.25874125874125875,0.01984126984126984,0.175,0.47735191637630664,0.6716417910447762,0.20149253731343283,0.575,0.14429530201342283,0.1909722222222222,1.1010452961672474,0.21223021582733814
4,0.46099290780141844,0.48148148148148145,0.7581699346405228,0.6140939597315436,0.4,0.11392405063291139,0.6196319018404908,0.03968253968253968,0.06177606177606178,0.10367892976588629,0.46179401993355484,0.28125,0.06349206349206349,0.9280575539568345,0.3958333333333333,0.47761194029850745,0.40298507462686567,0.4125,0.8313253012048193,0.21875,0.6433566433566433,0.05776173285198556
5,0.6227758007117438,0.47384615384615386,0.7908496732026143,0.7407407407407407,0.11895910780669144,0.5838926174496645,0.3058103975535168,0.05952380952380952,0.08076923076923077,0.2976588628762542,0.4693140794223827,0.12237762237762238,0.3968253968253968,0.7,0.6433566433566433,0.7104477611940299,0.10112359550561797,0.4875,0.5252100840336135,0.6589147286821705,0.3205574912891986,0.18214285714285713
6,1.309608540925267,0.36419753086419754,0.4098360655737705,0.7239057239057239,0.13059701492537312,0.30303030303030304,0.1624203821656051,0.13095238095238096,0.5116279069767442,0.27,0.25098039215686274,0.21254355400696864,0.7420634920634921,0.982078853046595,0.1736111111111111,1.208955223880597,0.1660377358490566,0.3125,0.6751054852320675,0.3492063492063492,0.5909090909090909,0.09090909090909091
7,0.723404255319149,0.3261538461538461,0.3235294117647059,0.44107744107744107,0.36666666666666664,0.18855218855218855,0.26053639846743293,0.06349206349206349,0.3,0.043478260869565216,0.4745098039215686,0.14285714285714285,0.28253968253968254,0.4357142857142857,0.43205574912891986,1.4686567164179105,0.7574626865671642,0.3333333333333333,0.606694560669456,0.22093023255813954,0.22996515679442509,0.49642857142857144
8,1.395017793594306,0.3653250773993808,0.3758169934640523,0.44107744107744107,0.10074626865671642,0.13804713804713806,0.6398467432950191,0.2261904761904762,0.0888030888030888,0.10702341137123746,0.2777777777777778,0.18466898954703834,0.1178343949044586,0.41007194244604317,0.1840277777777778,0.7432835820895523,0.08582089552238806,0.25833333333333336,0.6329113924050633,0.1984126984126984,1.0594405594405594,0.14181818181818182
9,1.2241992882562278,0.07384615384615385,0.5672727272727273,0.20134228187919462,0.19330855018587362,0.174496644295302,0.061068702290076333,0.1349206349206349,0.1576923076923077,0.17391304347826086,0.3023255813953488,0.1672473867595819,0.2929936305732484,0.7714285714285715,0.13240418118466898,1.0614334470989761,0.10820895522388059,0.5541666666666667,1.2348993288590604,0.2751937984496124,1.1672473867595818,0.34285714285714286
