subjective_hour,SgA3,SgA4,SgA9,SgA11,SgA12,SgA13,SgA14,SgA15,SgA17,SgA18,SgA19,SgA21,SgA22,SgA25,SgB5,SgB6,SgB13,SgB14,SgB15,SgB17,SgB19,SgB20,SgB22,SgB23
0,0.04474708171206226,0.02032520325203252,0.03090507726269316,0.0,0.804147465437788,0.00205761316872428,0.019189765458422176,0.013671875,0.10693069306930693,0.028455284552845527,0.704,0.266260162601626,0.0,0.002036659877800407,0.4166666666666667,0.075,0.05908096280087528,0.13768115942028986,0.09669811320754718,0.1431980906921241,0.4874715261958998,0.0023148148148148147,0.2234762979683973,0.29345372460496616
1,0.015503875968992248,0.0,0.017660044150110375,0.020161290322580645,0.012096774193548387,0.0,0.04017857142857143,0.00196078431372549,0.24183006535947713,0.0020325203252032522,0.068,0.03024193548387097,0.0,0.07099391480730223,0.0,0.15416666666666667,0.004901960784313725,1.1111111111111112,0.44047619047619047,0.1909307875894988,0.00228310502283105,0.0,0.10158013544018059,0.0
2,0.06614785992217899,0.0,0.01762114537444934,0.5423387096774194,0.6975806451612904,0.002074688796680498,0.033482142857142856,0.005859375,0.2149122807017544,0.0,0.456,0.0040650406504065045,0.0,0.03054989816700611,0.02142857142857143,0.008333333333333333,0.0,0.03140096618357488,0.430952380952381,0.3738095238095238,0.002288329519450801,0.002320185614849188,0.3076923076923077,0.0
3,0.0,0.024175824175824177,0.04405286343612335,0.08669354838709678,0.006048387096774193,0.00411522633744856,0.109375,0.0,0.0,0.0,0.2834331337325349,0.0,0.0,0.0,0.007125890736342043,0.022916666666666665,0.0,1.1135265700483092,0.023809523809523808,0.2619047619047619,0.0,0.0,0.43340857787810383,0.0
4,0.11867704280155641,0.035164835164835165,0.03303964757709251,0.6028225806451613,0.0,0.0020833333333333333,0.09151785714285714,0.0,0.1830065359477124,0.012244897959183673,0.01002004008016032,0.3597560975609756,0.0,0.008113590263691683,0.009478672985781991,0.040380047505938245,0.0,0.01932367149758454,0.47980997624703087,1.198090692124105,0.01839080459770115,0.0,0.0,0.0
5,0.031007751937984496,0.17142857142857143,0.030837004405286344,0.3346774193548387,0.0,0.0102880658436214,0.09821428571428571,0.0,0.07017543859649122,0.03861788617886179,0.007984031936127744,0.0,0.226890756302521,0.6537678207739308,0.4928571428571429,0.4225,0.5882352941176471,0.7753623188405797,0.14218009478672985,0.6109785202863962,0.006802721088435374,0.0,0.0,0.0
6,0.0,0.03956043956043956,0.021526418786692758,0.657258064516129,0.004032258064516129,0.08125,0.004464285714285714,0.0,0.013157894736842105,0.06313645621181263,0.176,0.0,0.06932773109243698,0.0,0.5404761904761904,0.085,0.28061224489795916,1.1549636803874093,0.5761904761904761,0.11666666666666667,0.7167070217917676,0.0,0.0,0.0
7,0.0,0.010964912280701754,0.050980392156862744,0.20362903225806453,0.0,0.2757201646090535,0.013157894736842105,0.0,0.05228758169934641,0.5388026607538803,0.0,0.0,0.09033613445378151,0.004073319755600814,0.030952380952380953,0.0225,0.04871794871794872,0.8961352657004831,0.6666666666666666,0.7565632458233891,0.0,0.2459396751740139,0.26410835214446954,0.0
8,0.02813852813852814,0.07252747252747253,0.1568627450980392,0.17943107221006566,0.0,0.35208333333333336,0.015841584158415842,0.0,0.06140350877192982,0.38802660753880264,0.20040080160320642,0.0,0.0,0.002036659877800407,0.12796208530805686,0.2475,0.04092071611253197,0.2397094430992736,0.4238095238095238,0.5023809523809524,0.4032258064516129,0.011574074074074073,0.0,0.32717678100263853
9,0.012903225806451613,0.3362637362637363,0.052941176470588235,0.4147465437788018,0.0,0.20164609053497942,0.19444444444444445,0.013392857142857142,0.9780701754385965,0.598343685300207,0.19760479041916168,0.0,0.0,0.9116279069767442,0.002369668246445498,0.03,0.3903061224489796,0.07971014492753623,0.2559241706161137,0.25059665871121717,0.7645502645502645,0.4861111111111111,0.0,0.2849604221635884
10,0.0,0.05043859649122807,0.060784313725490195,0.33410138248847926,0.0,0.23125,0.12301587301587301,0.0022371364653243847,0.3137254901960784,0.17551020408163265,0.286,0.0,0.22736842105263158,1.513953488372093,0.002380952380952381,0.2175,0.06649616368286446,0.0,0.3246445497630332,0.6199460916442049,0.045576407506702415,0.5081206496519721,0.5575620767494357,0.0
11,0.2,0.10329670329670329,0.14313725490196078,0.6612903225806451,0.42338709677419356,0.42386831275720166,0.07539682539682539,0.11830357142857142,0.15976331360946747,0.21747967479674796,0.234,0.9878048780487805,0.16421052631578947,1.1967545638945234,0.21428571428571427,0.03,1.0639386189258313,0.7530266343825666,0.7214285714285714,0.412568306010929,0.007957559681697613,0.5441860465116279,0.3237410071942446,0.7387862796833773
12,0.47835497835497837,0.421978021978022,0.5823529411764706,0.7439516129032258,3.223790322580645,0.5583333333333333,0.8908730158730159,1.006726457399103,1.1479289940828403,0.9308943089430894,1.374485596707819,1.1820224719101124,0.5513626834381551,1.8126272912423624,1.0857142857142856,0.565,1.1304347826086956,2.2753623188405796,0.7857142857142857,1.7901907356948228,3.997333333333333,0.7613941018766756,0.94579945799458,0.8201058201058201
