species,n,model_pct_rhythmic_DD,obs_pct_rhythmic_DD,model_pct_entrained_LS,obs_pct_entrained,model_pct_entrained_true,model_tau_LD_sd,obs_tau_LD_sd,model_phase_ZT,obs_phase_ZT,model_vector_r,obs_vector_r,model_light_dark,obs_light_dark,model_change_DD_to_LD,obs_change_DD_to_LD
L. cornutus,500,88.2,88.23529411764706,64.0,90.625,34.2,0.30104081632164753,0.2659811572933115,19.67579876946844,16.062932837736398,0.5467216233667394,0.6261955530926389,0.34142086507799996,0.09691691255041592,-24.2,2.389705882352942
A. pennsylvanica,500,95.8,95.65217391304348,21.4,63.41463414634146,5.2,0.4796265368859269,0.5323206730923022,12.845112921198746,15.765226311864255,0.10054704571593627,0.2746978820495765,0.9546578188400001,0.5909415234252227,-74.4,-32.23753976670202
S. grossa,500,69.19999999999999,68.57142857142857,60.4,48.38709677419355,55.2,0.07636774520246634,0.41619770755254704,16.774847751947707,12.750264459869525,0.22730751506409594,0.458349217842079,0.68024027578,0.6315549739916388,-8.799999999999997,-20.184331797235018
